|-----------|-------------
|iR  iG  iB | oR  oG  oB  
|-----------|-------------
|54  77  66 | 0   191 0   
|0   0   192| 0   191 0   
|0   0   0  | 0   191 0   
|0   54  0  | 0   191 0   
|40  0   0  | 0   191 0   
|0   0   0  | 0   191 0   
|0   0   128| 0   191 0   
|0   128 0  | 0   191 0   
|1   0   0  | 0   191 0   
|0   24  0  | 0   191 0   
|0   0   0  | 0   191 0   
|192 0   0  | 0   191 0   
|19  0   0  | 0   191 0   
|0   0   11 | 0   191 0   
|0   11  19 | 0   191 0   
|0   0   0  | 0   191 0   
|0   0   0  | 0   191 0   
|0   0   0  | 0   191 0   
|127 128 126| 0   191 0   
|127 131 131| 0   191 0   
|147 147 144| 0   191 0   
|171 163 158| 0   191 0   
|194 190 187| 0   191 0   
|215 212 211| 0   191 0   
|164 162 165| 0   191 0   
|121 118 117| 0   191 0   
|143 139 138| 0   191 0   
|189 183 180| 0   191 0   
|214 207 201| 0   191 0   
|227 223 212| 0   191 0   
|223 217 214| 0   191 0   
|166 165 169| 0   191 0   
|127 130 138| 0   191 0   
|121 132 133| 0   191 0   
|116 126 128| 0   191 0   
|129 136 139| 0   191 0   
|195 196 201| 0   191 0   
|214 210 214| 0   191 0   
|217 213 216| 0   191 0   
|214 212 216| 0   191 0   
|212 211 211| 0   191 0   
|197 199 200| 0   191 0   
|184 186 184| 0   191 0   
|148 152 148| 0   191 0   
|118 125 117| 0   191 0   
|140 144 141| 0   191 0   
|123 126 124| 0   191 0   
|128 130 126| 0   191 0   
|149 151 151| 0   191 0   
|152 155 159| 0   191 0   
|139 144 150| 0   191 0   
|131 139 145| 0   191 0   
|129 139 140| 0   191 0   
|134 139 142| 0   191 0   
|164 167 171| 0   191 0   
|156 159 164| 0   191 0   
|149 150 153| 0   191 0   
|174 173 170| 0   191 0   
|208 207 201| 0   191 0   
|192 190 191| 0   191 0   
|156 154 163| 0   191 0   
|138 134 144| 0   191 0   
|164 162 165| 0   191 0   
|186 181 176| 0   191 0   
|160 153 139| 0   191 0   
|158 152 135| 0   191 0   
|153 150 134| 0   191 0   
|147 143 128| 0   191 0   
|149 140 127| 0   191 0   
|151 144 130| 0   191 0   
|150 145 129| 0   191 0   
|152 146 132| 0   191 0   
|150 141 131| 0   191 0   
|148 139 129| 0   191 0   
|149 140 131| 0   191 0   
|148 139 130| 0   191 0   
|142 133 124| 0   191 0   
|128 119 110| 0   191 0   
|123 114 106| 0   191 0   
|120 110 98 | 0   191 0   
|122 109 95 | 0   191 0   
|116 107 91 | 0   191 0   
|111 103 91 | 0   191 0   
|109 102 86 | 0   191 0   
|110 101 82 | 0   191 0   
|112 102 80 | 0   191 0   
